mode,K,n_targets,n_distractors,J,h_mean,h_se,h_ci95,n_seeds,v_mean,v_se,v_ci95,r_mean,r_se,r_ci95
slot_delta,5,3,2,10,1.139888,0.13829657665322018,0.38391129678933916,5,0.8820460000000001,0.11050759587467279,0.3067690861480917,1.3102,0.100282301529233,0.2783836690451508
slot_delta,5,3,2,20,3.182204,0.2462185162939619,0.6835026012320382,5,0.962782,0.08742343177890011,0.2426874466182267,3.3379999999999996,0.16106427288508152,0.4471144215289863
slot_delta,5,3,2,40,3.09539,0.39902013602072767,1.10767989759354,5,0.93871,0.12721006512851096,0.3531351407967464,3.3369999999999997,0.16022109723753608,0.4447737659314001
slot_delta,5,3,2,80,3.502306,0.554363251411924,1.5389123859195009,5,1.123416,0.17217175943225996,0.47794880418395363,3.1246,0.1191438626199436,0.3307433626329634
slot_delta,5,3,5,10,0.935168,0.2707770625883958,0.7516771257453867,5,0.780844,0.18052252293273546,0.5011305236612736,1.1564,0.06313208376095311,0.17525466452040583
slot_delta,5,3,5,20,2.73721,0.563696300741809,1.5648209308592615,5,0.921936,0.13769580500509085,0.3822435546941322,2.895,0.2058618468779487,0.5714724869331855
slot_delta,5,3,5,40,2.497372,0.6627099212883417,1.8396827414964365,5,0.8715740000000001,0.14098804653586772,0.39138281718356877,2.7094,0.27949715562058947,0.7758841040027563
slot_delta,5,3,5,80,2.978584,0.8330054890911583,2.3124232377170553,5,1.047288,0.23207518498107463,0.6442407135074631,2.727,0.2342129373027886,0.6501751139525411
slot_delta,5,3,10,10,1.030924,0.10906002107096807,0.30275061849300733,5,0.822336,0.0732464328551227,0.20333209760582058,1.2618,0.10137573674208242,0.2814190451960208
slot_delta,5,3,10,20,3.011078,0.24593879481285574,0.6827260944004875,5,0.913494,0.07126440609448732,0.1978299913182968,3.3124000000000002,0.1753848910254244,0.4868684574865781
slot_delta,5,3,10,40,2.935044,0.354424664344907,0.9838828682214618,5,0.914954,0.12182618727515032,0.33818949587581726,3.2906,0.2525544693724504,0.7010912069779223
slot_delta,5,3,10,80,3.227282,0.3675967936258422,1.0204486991053379,5,1.052274,0.1477804416220225,0.4102385059427344,3.1162,0.1584845102841284,0.4399530005487404
