mode,K,n_targets,n_distractors,J,h_mean,h_se,h_ci95,n_seeds,v_mean,v_se,v_ci95,r_mean,r_se,r_ci95
slot_delta,5,3,2,20,2.801686,0.4618729010842702,1.282159173409934,5,0.946532,0.09930205573904298,0.27566250673158327,2.8891999999999998,0.3225595138885226,0.8954252105545387
slot_delta,5,3,2,40,2.764542,0.431634616225344,1.1982176946415548,5,0.9445119999999999,0.1231696371026561,0.3419189125969733,2.8850000000000002,0.24891765706755317,0.6909954160195275
slot_delta,5,3,2,80,2.8713439999999997,0.5761056623797409,1.5992693187661606,5,0.9130940000000001,0.13477228812333789,0.3741278718303859,3.0098,0.35614581283513636,0.9886607764303385
slot_delta,5,3,5,20,3.57501,0.874110833796264,2.4265316746184284,5,0.9464560000000001,0.07738125409942642,0.21481036138000772,3.7283999999999997,0.8460237939916347,2.3485620521207777
slot_delta,5,3,5,40,3.3712540000000004,0.7421868481965981,2.0603106905937563,5,0.9429399999999999,0.08171052147673517,0.22682840761941683,3.5658000000000003,0.7499859598685831,2.0819610245951865
slot_delta,5,3,5,80,3.554848,1.203184754767114,3.340040879233508,5,0.8909800000000001,0.13055943163938788,0.3624329822309407,3.6488,0.82461854211508,2.289141072911462
slot_delta,5,3,10,20,2.722838,0.4176641179871692,1.1594355915323815,5,1.0073320000000001,0.08249717621834095,0.22901216118211445,2.716,0.4342287415637062,1.2054189865808485
slot_delta,5,3,10,40,2.70295,0.5491048310932987,1.524315011114997,5,0.9507899999999999,0.085111853404799,0.236270505051722,2.7878,0.4860348135679173,1.3492326424645382
slot_delta,5,3,10,80,2.524026,0.5083841539387316,1.4112744113339188,5,0.916498,0.1305349210518013,0.3623649408398004,2.6916,0.4294887192930683,1.1922606847575576
slot_delta,5,5,2,20,4.1413899999999995,0.6891824230419693,1.9131704063645067,5,0.921068,0.10645114341330489,0.29550837411533437,4.4802,0.6295072199744813,1.7475120426491602
slot_delta,5,5,2,40,4.30749,0.5846104943721075,1.6228787323769704,5,0.917732,0.09857351324772796,0.2736400727756928,4.771,0.6231629802868588,1.72990043327632
slot_delta,5,5,2,80,4.472016,0.6384531318319302,1.7723458939654382,5,1.019656,0.044770612973243945,0.12428322161372518,4.4222,0.6259421219250226,1.7376153304638626
slot_delta,5,5,5,20,2.92016,0.22509121797617965,0.6248532211018747,5,0.9150839999999999,0.08936217693185411,0.248069403162827,3.2322,0.17465921103680734,0.48485396983817713
slot_delta,5,5,5,40,3.020192,0.24480942174270992,0.6795909547577627,5,0.871414,0.09272162879285502,0.25739524152896553,3.5414000000000003,0.2933067677364434,0.8142195872363668
slot_delta,5,5,5,80,3.1639380000000004,0.3957568631925415,1.098621052222495,5,0.953642,0.09048534176318285,0.25118730873459555,3.2814,0.2015479099370668,0.5594969979852974
slot_delta,5,5,10,20,2.935584,0.39350743391453225,1.0923766365467413,5,0.7866,0.06741057372549206,0.18713175266196594,3.7232,0.44514855947200377,1.2357324010942823
slot_delta,5,5,10,40,3.1156800000000002,0.4338265030977245,1.2043023725992832,5,0.7718740000000001,0.09210411774725384,0.25568103086637667,4.1574,0.6408291972124865,1.7789418514618625
slot_delta,5,5,10,80,3.1498440000000003,0.4184070839816171,1.161498065132969,5,0.8627040000000001,0.12112045700871511,0.33623038865619315,3.6980000000000004,0.3754426720552687,1.042228857625426
slot_delta,5,8,2,20,3.4243339999999995,0.845533131051646,2.3471999717993692,5,0.8953260000000001,0.06777886784241827,0.1881541371305531,3.6778,0.6310549421405397,1.751808519382138
slot_delta,5,8,2,40,3.328678,0.7722579846100653,2.1437881652775412,5,0.833386,0.08912502839270234,0.24741107881814167,3.8594,0.4836045491928297,1.3424862285592951
slot_delta,5,8,2,80,3.5400579999999997,0.7365634679265597,2.0447001869641297,5,0.9051159999999999,0.07903937718631136,0.21941331106920034,3.8002000000000002,0.5201874085365774,1.4440402460975388
slot_delta,5,8,5,20,3.0927160000000002,0.5435821736646631,1.5089841140931046,5,0.825394,0.041597697844952916,0.11547520921758929,3.7649999999999997,0.673784609500692,1.8704260759739209
slot_delta,5,8,5,40,2.768992,0.4890028340142825,1.357471867223648,5,0.769454,0.04257060366027244,0.11817599576091628,3.6079999999999997,0.6597088751866236,1.8313518375180668
slot_delta,5,8,5,80,3.281024,0.5012078253439385,1.3913529231547732,5,0.8588480000000001,0.0646016127817255,0.17933407708207,3.8482,0.6062428061428853,1.6829300298526495
slot_delta,5,8,10,20,3.886804,1.040801426015549,2.8892647586191638,5,0.8365159999999999,0.11127811099223422,0.3089080361144422,4.3554,1.0406600117233291,2.8888721925439613
slot_delta,5,8,10,40,3.6172139999999997,0.9587823340289494,2.6615797592643635,5,0.7843899999999999,0.10237137114447575,0.28418292629706465,4.3392,1.0213157885786355,2.835172629094292
slot_delta,5,8,10,80,4.06308,0.9573332463881112,2.6575570919733966,5,0.916694,0.12887187856937604,0.3577483349085879,4.2414000000000005,0.9698132603754188,2.6922016108021625
slot_dense_update,5,3,2,20,70.5339,2.622854516188422,7.281044136939059,5,25.35591,3.9224687006705357,10.888773113061406,3.1364,0.619728779386596,1.7203670915771903
slot_dense_update,5,3,2,40,68.223462,2.7077031582198967,7.516583967218433,5,23.749706,4.335766818287856,12.036088687567087,3.4275999999999995,0.8000692220051963,2.2209921602864244
slot_dense_update,5,3,2,80,69.347468,6.839318962261083,18.985949439236766,5,22.229482,3.216844331725426,8.929959864869781,3.4686,0.7612407372178659,2.1132042865167957
slot_dense_update,5,3,5,20,70.523658,2.6256910616833813,7.288918387233066,5,25.347521999999998,3.9141941005606755,10.865802823156434,3.1348,0.6175351326038059,1.714277528108165
slot_dense_update,5,3,5,40,68.199422,2.7150134044243694,7.536877210682049,5,23.743332,4.328714049408207,12.016510201157182,3.4248,0.7974537854948084,2.213731708533588
slot_dense_update,5,3,5,80,69.31339399999999,6.827017326697362,18.951800098911875,5,22.232875999999997,3.1988766286019845,8.880081520999108,3.4614,0.7556610086540128,2.097714960023539
slot_dense_update,5,3,10,20,70.533642,2.6237915249108488,7.283645273152516,5,25.3677,3.940336106431785,10.938373031454635,3.1406,0.6280621466065281,1.743500518979722
slot_dense_update,5,3,10,40,68.180142,2.704712523708204,7.508281965813974,5,23.749676,4.353445742301838,12.0851653806299,3.4328000000000003,0.8084623306005049,2.2442914297470016
slot_dense_update,5,3,10,80,69.38804999999999,6.9216534279325215,19.214509915940678,5,22.219218,3.2340218267899794,8.977644591168982,3.4808,0.7779882646929837,2.1596954227877223
slot_dense_update,5,5,2,20,64.756616,3.027432660028295,8.404153064238546,5,26.020754,4.585408911670364,12.72909513879693,2.8512,0.5420779833197433,1.5048084816956073
slot_dense_update,5,5,2,40,60.703176,3.681770099959529,10.220593797487652,5,24.360068000000002,4.102548219920639,11.388673858499692,2.866,0.5643194130986458,1.5665506907618405
slot_dense_update,5,5,2,80,64.100688,1.7943642801181707,4.981155241608041,5,25.80116,3.7951442513203633,10.535320441665327,2.7718,0.5028037788243045,1.3957832900162692
slot_dense_update,5,5,5,20,66.62512000000001,2.236878527703282,6.20957479290431,5,26.071112,4.465650750772388,12.39664648414415,2.951,0.6229053700201982,1.72918530717607
slot_dense_update,5,5,5,40,62.966100000000004,2.0282453690000124,5.630409144344034,5,24.389212,3.984600901353108,11.061252102156228,3.035,0.7141539749941884,1.982491434583867
slot_dense_update,5,5,5,80,66.278754,1.341883632673117,3.7250689643005725,5,25.880564,3.6165796162833193,10.039625014802494,2.8784,0.5950087058186628,1.6517441673526079
slot_dense_update,5,5,10,20,66.993528,2.238190689062038,6.213217352836217,5,25.96221,4.521606291749648,12.55197906589702,3.0218,0.6886302636393496,1.9116376118628344
slot_dense_update,5,5,10,40,63.620926,1.8074786416707667,5.017560709278048,5,24.300014,4.027636886317583,11.18071999641761,3.1376,0.8111889792150779,2.2518606063010562
slot_dense_update,5,5,10,80,66.833636,1.7083064407669948,4.7422586795691775,5,25.761090000000003,3.6785491137824975,10.211652339860212,2.9574000000000003,0.6687977721254759,1.8565826154203209
slot_dense_update,5,8,2,20,67.391784,2.997835517526938,8.321991396654779,5,24.644356,4.317531738849873,11.985468107047245,3.3328,0.9346792711941354,2.59466965683492
slot_dense_update,5,8,2,40,64.315702,1.779681769486894,4.940396592095618,5,24.619366,4.08857930530594,11.349896151529288,3.0984000000000003,0.7594007242556462,2.108096410533674
slot_dense_update,5,8,2,80,67.466406,1.9876312725971084,5.517664412729572,5,25.70371,4.274006301014307,11.864641491615714,3.0395999999999996,0.6875900377405129,1.9087499447676635
slot_dense_update,5,8,5,20,67.243218,2.9092930129730834,8.076197404013278,5,24.703122,4.292897488067238,11.917083426874653,3.2854,0.8863598366352122,2.460534906499349
slot_dense_update,5,8,5,40,64.305486,1.7854221591842074,4.95633191389536,5,24.641296,4.0693550088209305,11.296529504486902,3.0732,0.7273697409158564,2.019178400782417
slot_dense_update,5,8,5,80,67.45763600000001,1.9976048946966478,5.545351187677894,5,25.754868,4.244432361498295,11.782544235519266,3.0132000000000003,0.6577727115045136,1.8259770471365295
slot_dense_update,5,8,10,20,66.959296,3.0741133324970304,8.533738611011756,5,26.377696000000004,3.7985647520485943,10.544815751686897,2.9534,0.7565828837609267,2.1002740853203323
slot_dense_update,5,8,10,40,64.365886,1.8257483644949541,5.068277459837993,5,26.355194,3.6680206694000512,10.18242537825454,2.7923999999999998,0.6366955787501591,1.7674669266104417
slot_dense_update,5,8,10,80,67.78622399999999,2.462859542926879,6.836898091165016,5,27.606122,3.8691821800574346,10.740849731839438,2.7714000000000003,0.6088101181813588,1.690056888071452
dense_jepa_flatten,5,3,2,20,71.380858,2.9345393981907972,8.146281369377652,5,62.764269999999996,2.983925874694276,8.283378228151308,1.1394,0.021378961621182642,0.05934799746040301
dense_jepa_flatten,5,3,2,40,68.389366,3.093542291050179,8.587673399955296,5,59.642904,2.668330248383059,7.407284769511372,1.1480000000000001,0.031570555902612776,0.08763986318565306
dense_jepa_flatten,5,3,2,80,68.79109,5.8151053744330365,16.142732519426108,5,60.659176,6.668424588007724,18.51154665630944,1.147,0.03991365681067072,0.1108003113064219
dense_jepa_flatten,5,3,5,20,71.416228,2.9073422554136967,8.070782101028422,5,61.600685999999996,2.88736038616346,8.015312431989765,1.1616,0.024065743287918603,0.06680650336726203
dense_jepa_flatten,5,3,5,40,68.562296,3.053192081503552,8.47566121825386,5,58.428274,2.5403111322288843,7.051903703067382,1.1751999999999998,0.03790962938357482,0.10523713116880369
dense_jepa_flatten,5,3,5,80,68.701876,5.816781886090969,16.14738651578853,5,59.46653200000001,6.937290680870595,19.25791893009677,1.174,0.05370102419879902,0.14907404317586606
dense_jepa_flatten,5,3,10,20,71.245198,3.0285641776878363,8.407294157261433,5,61.271533999999996,2.803255196234549,7.781836424747108,1.1636,0.013522573719525465,0.03753866464540269
dense_jepa_flatten,5,3,10,40,68.347982,3.070022508996311,8.52238248497376,5,57.590743999999994,2.7410597709418902,7.6091819241346865,1.189,0.03305298776207681,0.09175509402752521
dense_jepa_flatten,5,3,10,80,68.62998,5.845262920535739,16.22644986740721,5,59.193922,6.495296343064264,18.030942648346397,1.1720000000000002,0.03520653348456789,0.09773333695316046
dense_jepa_flatten,5,5,2,20,68.80689600000001,2.8687160498323996,7.963555754334741,5,60.311598000000004,2.490668981684239,6.914097093155447,1.1422,0.032344087558624994,0.08978718706274298
dense_jepa_flatten,5,5,2,40,63.93196400000001,2.2214993548088193,6.166882208949282,5,56.538534000000006,2.667756495635612,7.405692031884458,1.1336,0.018527277187973392,0.05143172147381413
dense_jepa_flatten,5,5,2,80,68.44670599999999,2.8742707152069036,7.978975505414364,5,60.207476,2.2853768327971635,6.344206087844926,1.1363999999999999,0.015272851731094612,0.04239743640551864
dense_jepa_flatten,5,5,5,20,68.86422400000001,2.8818716991559503,8.000075836856917,5,59.941292,2.7521313000752707,7.639916489008951,1.152,0.037409891740019775,0.10384985947029489
dense_jepa_flatten,5,5,5,40,63.82962199999999,2.2387046662778003,6.214644153587173,5,56.14668,2.8617981075593004,7.944351546584618,1.1406,0.022274649267721387,0.061834426367194564
dense_jepa_flatten,5,5,5,80,68.43053,2.844346847954728,7.895906849922325,5,59.744637999999995,2.5327705813503925,7.030971133828689,1.1465999999999998,0.021641626556245706,0.060077155320138076
dense_jepa_flatten,5,5,10,20,68.81280799999999,2.825424416170781,7.843378179290087,5,59.35039400000001,2.733223338667369,7.5874279881406155,1.1620000000000001,0.033241540277189306,0.0922785158094775
dense_jepa_flatten,5,5,10,40,64.052648,2.1442588649866874,5.952462609203044,5,55.80609,2.7154596709839005,7.538116046651307,1.1512,0.020850419660045208,0.05788076497628549
dense_jepa_flatten,5,5,10,80,68.50398600000001,2.8544871929027815,7.9240564474981205,5,59.38923,2.293951500396204,6.368009365099861,1.1536,0.01792093747547824,0.049748522431927594
dense_jepa_flatten,5,8,2,20,66.346548,2.422629510448099,6.725219521003923,5,56.728814,3.9277342700004536,10.903390333521259,1.182,0.04743838108536169,0.13168894589296404
dense_jepa_flatten,5,8,2,40,64.436226,2.027174269091338,5.627435770997554,5,54.903186000000005,2.96762654755884,8.23813129602334,1.1806,0.038037612964012354,0.10559241358809829
dense_jepa_flatten,5,8,2,80,68.188604,2.3549439409816104,6.53732438016495,5,58.384274000000005,3.4143502626906934,9.478236329229365,1.1758,0.04198737905609254,0.11655696425971288
dense_jepa_flatten,5,8,5,20,66.371144,2.4149171761959045,6.703810081119831,5,56.336022,3.8085180337440963,10.57244606167361,1.1898,0.0447832557994615,0.1243183180993051
dense_jepa_flatten,5,8,5,40,64.405142,1.9722013567544263,5.474830966350287,5,54.33654,2.7966062944272294,7.763379073329988,1.1916,0.038315271106962034,0.1063631925929266
dense_jepa_flatten,5,8,5,80,68.22273,2.308532668012302,6.40848668640215,5,57.982528,3.331736252918888,9.248899838102831,1.1838,0.036509450831257374,0.10135023550757047
dense_jepa_flatten,5,8,10,20,66.433114,2.4164756227729676,6.708136328817758,5,55.981548,3.949916485697388,10.964968164295948,1.2002,0.049737712050314506,0.13807188865167305
dense_jepa_flatten,5,8,10,40,64.486776,1.9540396657887993,5.424414112229706,5,54.004135999999995,2.770313563823778,7.690390453174808,1.2004,0.038300913827218286,0.10632333678435796
dense_jepa_flatten,5,8,10,80,68.214248,2.3225947479498026,6.447523020308651,5,57.406935999999995,3.518822911749893,9.768252403017703,1.198,0.046094468214743535,0.12795824376412804
copy,5,3,2,20,71.30998,2.994323047095954,8.312240778738367,5,69.860692,2.5551994069766844,7.093233553767275,1.02,0.00903880523078132,0.02509172332064894
copy,5,3,2,40,69.039114,3.347176643812812,9.291762363224366,5,67.39725,2.9545597335203775,8.201857820252567,1.0234,0.008846468221838601,0.024557795783823954
copy,5,3,2,80,69.195238,5.733698788350675,15.916747836461472,5,67.98711,6.062807053432429,16.830352380328424,1.0198,0.009420191080864568,0.02615045044048004
copy,5,3,5,20,71.312262,2.992737713327715,8.307839892197736,5,69.858072,2.555017139084199,7.092727578097736,1.02,0.00903880523078132,0.02509172332064894
copy,5,3,5,40,69.0432,3.346774096970095,9.290644893188983,5,67.396108,2.9551104407219713,8.20338658344419,1.0236,0.00874414089547967,0.024273735125851563
copy,5,3,5,80,69.198584,5.732176561360092,15.912522134335614,5,67.988328,6.063089414999914,16.83113621603976,1.0198,0.009420191080864568,0.02615045044048004
copy,5,3,10,20,71.30883800000001,2.9921758213069634,8.30628007994813,5,69.859212,2.5569771445114644,7.098168553163824,1.02,0.00903880523078132,0.02509172332064894
copy,5,3,10,40,69.03824999999999,3.3477371209863542,9.293318247858119,5,67.39903999999999,2.9550360502504875,8.203180075495354,1.0234,0.008600000000000017,0.023873600000000047
copy,5,3,10,80,69.198798,5.7319035280937864,15.91176419398835,5,67.98875799999999,6.062459642513425,16.82938796761727,1.0198,0.009420191080864568,0.02615045044048004
copy,5,5,2,20,68.75577799999999,2.953527230823174,8.19899159276513,5,68.580572,2.9868764949080173,8.291569149864655,1.0026,0.00259999999999998,0.007217599999999944
copy,5,5,2,40,63.900044,2.2222414463253086,6.168942254999056,5,63.908574,2.1825739412643053,6.058825260949711,0.9997999999999999,0.0008000000000000007,0.002220800000000002
copy,5,5,2,80,68.32566999999999,2.852970572732919,7.919846309906582,5,68.070754,2.901856929589397,8.055554836540166,1.004,0.0035213633723318047,0.00977530472159309
copy,5,5,5,20,68.756488,2.9537640555829765,8.199649018298341,5,68.581654,2.988339729509681,8.295631089118874,1.0026,0.00259999999999998,0.007217599999999944
