mode,K,n_targets,n_distractors,J,h_mean,h_se,h_ci95,n_seeds,v_mean,v_se,v_ci95,r_mean,r_se,r_ci95
slot_delta,5,3,5,20,3.492656,0.7182862655000442,1.9939626730281224,5,0.9213319999999999,0.11053078111548838,0.3068334483765957,3.6257999999999995,0.43138653201044647,1.1975290128609992
slot_delta,5,3,5,40,3.4852440000000002,0.813686855163582,2.2587947099341035,5,0.912092,0.11306667348958313,0.31387308560708277,3.6142000000000003,0.5694992010529953,1.580929782123115
slot_delta,5,3,5,80,3.678094,0.9436399868943663,2.6195446036187606,5,0.968136,0.14718492890238458,0.40858536263301953,3.5568,0.5273909745151125,1.4640373452539523
slot_delta,5,3,10,20,3.554466,0.9224236917306494,2.5606481682442825,5,0.9180619999999999,0.12484513183941134,0.34657008598620587,3.6718,0.40683932946557655,1.1293859785964404
slot_delta,5,3,10,40,3.446812,0.8228169954759078,2.28413997944112,5,0.882136,0.08921665671835052,0.24766543905014105,3.7478000000000002,0.5107846317186922,1.4179381376510893
slot_delta,5,3,10,80,3.75035,1.2083643768623766,3.3544195101699574,5,0.973638,0.13060651191269138,0.3625636770696312,3.5862000000000003,0.6330870714206696,1.7574497102637785
slot_delta,5,5,5,20,2.458692,0.9824401004407342,2.727253718823478,5,0.638618,0.19267337772510243,0.5348612965648843,10.4042,6.826059971901799,18.94914248199939
slot_delta,5,5,5,40,2.766036,1.0751637203217006,2.9846544876130405,5,0.677134,0.1941716800050924,0.5390205836941365,12.152600000000001,8.327252611756174,23.11645325023514
slot_delta,5,5,5,80,2.6333379999999997,0.9916022469085071,2.7526878374180153,5,0.675762,0.1932102815173147,0.5363517414920655,12.172,8.548280090170186,23.730025530312435
slot_delta,5,5,10,20,2.811596,0.8248868125361201,2.2898857916002693,5,0.673482,0.18244244027637868,0.5064602142072272,10.788,6.667656304879548,18.509413902345624
slot_delta,5,5,10,40,3.007516,0.8731138920301291,2.4237641642756382,5,0.731026,0.20206356476613987,0.5609284557908043,12.261,8.187526500720471,22.728573566000026
slot_delta,5,5,10,80,2.931878,0.9009275776187561,2.5009749554696667,5,0.721816,0.20071950173314002,0.5571973368111967,12.336,8.394907033434022,23.30426192481284
slot_delta,5,8,5,20,2.315024,0.8456769374211407,2.3475991782810866,5,0.658598,0.1778955991698502,0.4938381832955041,7.5001999999999995,4.203328197987875,11.66843907761434
slot_delta,5,8,5,40,2.2604859999999998,0.8805695689359245,2.444461123366126,5,0.688076,0.2073714710995705,0.5756632037724077,4.9164,1.8876123436765293,5.240011866046045
slot_delta,5,8,5,80,2.494772,1.0547451523728375,2.9279725429869967,5,0.7058760000000001,0.21872593336410753,0.6071831910187625,5.4872,2.270689727813996,6.303434684411653
slot_delta,5,8,10,20,3.4649900000000002,1.4282734870500118,3.9648872000508324,5,0.608824,0.18340154491170463,0.509122688674892,9.2472,3.962340437165893,10.999457053572518
slot_delta,5,8,10,40,3.415462,1.3185201952090078,3.6602120619002054,5,0.6674680000000001,0.2115786859634023,0.5873424322344047,6.6228,1.9703960109582033,5.469819326419972
slot_delta,5,8,10,80,3.480882,1.2756944978261842,3.541327925965487,5,0.6742060000000001,0.20428933955544523,0.567107206605916,7.0844,2.2338858654819407,6.201267162577867
slot_dense_update,5,3,5,20,69.02115,4.240984493716053,11.772972954555762,5,25.523244,3.4520486710134897,9.582887110733447,3.0012,0.6002927119331035,1.6664125683262951
slot_dense_update,5,3,5,40,66.63363799999999,2.7305428174767745,7.5799868613155255,5,24.681456,4.166352568425529,11.565794729949268,3.2804,0.8916780584942079,2.475298290379921
slot_dense_update,5,3,5,80,74.46797000000001,3.771848468027315,10.470651347243825,5,26.851542000000002,4.50198126968938,12.497500004657718,3.4397999999999995,1.0650156524671361,2.95648345124877
slot_dense_update,5,3,10,20,69.055586,4.243782980944714,11.780741555102527,5,25.297918000000003,3.522889300695382,9.77954069873038,3.0644,0.653104325510098,1.813017607616032
slot_dense_update,5,3,10,40,66.517662,2.742757262193284,7.613894159848556,5,24.509434,4.245005984093073,11.784136611842369,3.3512,0.9547629234527281,2.650421875504773
slot_dense_update,5,3,10,80,74.58939000000001,3.830990259602601,10.63482896065682,5,26.688184,4.571224253642125,12.689718528110538,3.5271999999999997,1.143314016357711,3.1738397094090054
slot_dense_update,5,5,5,20,64.80200599999999,1.5448159899437857,4.288409188083949,5,23.472044,3.107967002763382,8.627716399671147,3.1384,0.7195476078759487,1.9974641594636335
slot_dense_update,5,5,5,40,67.84198,2.501444749289897,6.944010624028754,5,25.858614,3.1368154320020167,8.707799639237598,2.9038,0.5948046233848557,1.6511776345163593
slot_dense_update,5,5,5,80,68.178206,1.7562277452471817,4.875288220806176,5,26.342862000000004,3.703392634958384,10.280617954644473,2.9202,0.6277848676099163,1.7427307924851274
slot_dense_update,5,5,10,20,64.59709799999999,1.4506493394628488,4.027002566348868,5,23.417896,3.160334648189334,8.77308898337359,3.1482,0.7279875960481743,2.0208935666297316
slot_dense_update,5,5,10,40,67.615002,2.420192250122705,6.718453686340628,5,25.738833999999997,3.2099318132673784,8.910770713630242,2.9226,0.6096318233163356,1.6923379415261475
slot_dense_update,5,5,10,80,67.993776,1.670353570124004,4.636901510664234,5,26.2522,3.7890732428880285,10.518467322257166,2.9442,0.6510182332316047,1.8072266154509344
slot_dense_update,5,8,5,20,64.521794,2.984133160062733,8.283953652334146,5,23.868726,3.8567963480077605,10.706466662069543,3.4134,1.1449022054306648,3.178248522275525
slot_dense_update,5,8,5,40,66.476392,1.6138789204534523,4.480127883178783,5,25.083664,4.42722118585304,12.289966011928039,3.3644,1.0497656214603335,2.9141493651738855
slot_dense_update,5,8,5,80,65.49596,1.9714570485151324,5.472764766678007,5,24.803276,4.034211892343534,11.19897221314565,3.15,0.8235160593455357,2.286080580743207
slot_dense_update,5,8,10,20,64.31044,2.8168681745388797,7.819626052519929,5,24.136941999999998,3.3571620805218805,9.31948193552874,3.0496000000000003,0.7409800672082887,2.0569606665702094
slot_dense_update,5,8,10,40,67.07041,1.4265082725872997,3.9599869647023436,5,25.229452000000002,3.967466447398642,11.01368685797863,3.1054000000000004,0.7468792137956444,2.0733366974967087
slot_dense_update,5,8,10,80,65.77256600000001,1.9539055057182266,5.424041683873797,5,24.997558,3.5857139402333815,9.953941898087866,2.9368,0.5682104715684144,1.5773522690739183
dense_jepa_flatten,5,3,5,20,68.96522999999999,4.586544582472735,12.732247760944311,5,57.795472,2.64473694995438,7.341789773073359,1.1902,0.03660382493674669,0.1016122180244088
dense_jepa_flatten,5,3,5,40,67.879474,2.742869485434187,7.614205691565302,5,58.17797399999999,2.988289491407416,8.295491628146987,1.1708,0.03446070225633828,0.09566290946359506
dense_jepa_flatten,5,3,5,80,73.779196,3.040561014008106,8.440597374886503,5,64.856382,2.5307610767265243,7.0253927489928305,1.1384,0.025927977167530827,0.07197606461706557
dense_jepa_flatten,5,3,10,20,69.218118,4.934930204358922,13.699366247300368,5,55.94881,2.6918351843212838,7.472534471675883,1.2349999999999999,0.04964171632810454,0.1378054045268182
dense_jepa_flatten,5,3,10,40,68.919038,2.9063425581431392,8.068006941405354,5,55.699918000000004,3.324776890915238,9.2295806491807,1.2478,0.06416260593211592,0.17811539406755378
dense_jepa_flatten,5,3,10,80,73.89874999999999,3.240608301742127,8.995928645636145,5,63.331394,2.6469439867262023,7.347916507151937,1.1682000000000001,0.0352269782978898,0.09779009175494209
dense_jepa_flatten,5,5,5,20,63.970682,1.2562649849390848,3.487391598190899,5,56.696556,1.0726693866313148,2.9777302172885296,1.1288,0.01826855221411919,0.050713500946394874
dense_jepa_flatten,5,5,5,40,67.102986,2.270889498508459,6.303989247859481,5,59.136248,2.4423036954183237,6.779835058481266,1.1366,0.01666313295872057,0.04625685709340829
dense_jepa_flatten,5,5,5,80,67.098022,1.5263391290450499,4.237117422229058,5,58.642584,1.9601237740474455,5.441303596755708,1.1465999999999998,0.023399999999999987,0.06495839999999996
dense_jepa_flatten,5,5,10,20,64.21838,1.3499964696990872,3.7475901998846655,5,55.277934,1.1489990033877306,3.18962123340434,1.1623999999999999,0.0178033704674143,0.04942215641754209
dense_jepa_flatten,5,5,10,40,67.264864,2.336707073038039,6.486698834753596,5,57.434852,2.3649810105440596,6.5651872852703095,1.1728,0.01472888318916272,0.04088737973311571
dense_jepa_flatten,5,5,10,80,67.44591199999999,1.4870144976273783,4.127952245413602,5,57.02485,2.084826534282888,5.787478459169297,1.186,0.026094060626893633,0.07243711230025672
dense_jepa_flatten,5,8,5,20,63.363814000000005,2.3544559254838475,6.53596964914316,5,54.421260000000004,3.65245409050545,10.139212555243128,1.1747999999999998,0.03985021957279531,0.11062420953407977
dense_jepa_flatten,5,8,5,40,66.39812,1.7603251715265584,4.886662676157726,5,58.32694,2.5963749627644295,7.207536896634056,1.1422,0.02155550973649196,0.05983809502850168
dense_jepa_flatten,5,8,5,80,66.189558,1.6970801274583363,4.711094433824341,5,56.783192,2.3203717886911996,6.44135208540677,1.1702,0.03371112575990306,0.09358208510949088
dense_jepa_flatten,5,8,10,20,63.32096,2.339832737024167,6.495375677979087,5,54.082578,3.6689926672009032,10.185123644149707,1.1816,0.04132505293402538,0.11471834694485444
dense_jepa_flatten,5,8,10,40,66.278062,1.7979353941768887,4.991068654235042,5,57.33233800000001,2.6364767213203306,7.318859378385238,1.16,0.02376972864800945,0.06598476672687423
dense_jepa_flatten,5,8,10,80,66.387946,1.8487386580547285,5.132098514759926,5,56.604272,2.4714058841667423,6.860622734446876,1.1780000000000002,0.03736977388210959,0.1037384922967362
