mode,n_slots,nt,nd,J,h_mean,h_se,n_seeds
slot_delta,16,8,10,40,14.035466666666666,2.895102699216577,3
slot_delta,16,8,10,80,16.70399,3.5036099338682103,3
slot_delta,16,8,10,160,15.946710000000001,3.2382312056018074,3
slot_delta,32,8,10,40,4.857906666666667,2.513510004955443,3
slot_delta,32,8,10,80,5.395403333333333,2.7610370487694973,3
slot_delta,32,8,10,160,5.44732,2.8712312214855378,3
slot_delta,64,8,10,40,2.623443333333333,1.741093859927654,3
slot_delta,64,8,10,80,2.3507466666666668,1.2841922258801879,3
slot_delta,64,8,10,160,2.4682433333333336,1.4783467775450312,3
slot_delta,16,8,20,40,12.61087,3.0121573661137515,3
slot_delta,16,8,20,80,15.208496666666667,3.9074062693485625,3
slot_delta,16,8,20,160,14.663176666666667,3.7309065516633413,3
slot_delta,32,8,20,40,4.512616666666667,2.331689868888609,3
slot_delta,32,8,20,80,4.522856666666667,2.325110020080292,3
slot_delta,32,8,20,160,4.44375,2.39628120890127,3
slot_delta,64,8,20,40,2.431906666666667,1.3499813510604919,3
slot_delta,64,8,20,80,2.3457133333333333,1.0299523690658925,3
slot_delta,64,8,20,160,2.429396666666667,1.1460107556408203,3
slot_delta,16,8,50,40,10.298333333333334,2.24840104215072,3
slot_delta,16,8,50,80,11.268826666666667,2.997743504178509,3
slot_delta,16,8,50,160,11.50609,2.423250157481339,3
slot_delta,32,8,50,40,7.474043333333334,4.851143485428062,3
slot_delta,32,8,50,80,7.821766666666666,4.964631299644628,3
slot_delta,32,8,50,160,7.543493333333333,5.059778706314909,3
slot_delta,64,8,50,40,2.795,1.4569773642373445,3
slot_delta,64,8,50,80,2.656416666666667,1.0217427624950965,3
slot_delta,64,8,50,160,2.776923333333333,1.2343853967370877,3
slot_delta,16,16,10,40,7.691426666666666,2.534820881326945,3
slot_delta,16,16,10,80,8.356436666666667,2.7902380839953027,3
slot_delta,16,16,10,160,8.118096666666666,2.571821825829136,3
slot_delta,32,16,10,40,6.097086666666667,0.891144971863601,3
slot_delta,32,16,10,80,7.2410266666666665,1.5636483022122052,3
slot_delta,32,16,10,160,7.145333333333333,1.336044190939972,3
slot_delta,64,16,10,40,3.6990166666666666,1.5457190748465401,3
slot_delta,64,16,10,80,3.924726666666667,1.582037398897735,3
