mode,n_slots,target_active,n_targets,J,hidden_mse,hidden_mse_hung,visible_mse,visible_mse_hung,n_seeds
copy,,0,32,80,180.30095599999999,251.824966,180.30146,251.823338,5
copy,,0,32,160,171.881492,243.17496799999998,171.88807400000002,243.16637799999998,5
copy,,0,16,80,178.374318,251.13201200000003,178.38063,251.142492,5
copy,,0,16,160,176.219744,249.66953600000002,176.226798,249.66800600000002,5
copy,,0,8,80,179.906398,270.01127,179.904248,270.00712,5
copy,,0,8,160,171.32824799999997,255.88857199999998,171.330734,255.900182,5
dense_jepa_flatten,,0,32,80,182.01221600000002,240.741028,182.215518,237.754862,5
dense_jepa_flatten,,0,32,160,173.7379,232.36586400000002,175.249632,228.24955,5
dense_jepa_flatten,,0,16,80,179.82859200000001,241.17016599999997,178.95955800000002,240.4134,5
dense_jepa_flatten,,0,16,160,177.067312,240.258884,177.99411800000001,239.023724,5
dense_jepa_flatten,,0,8,80,181.61679399999997,264.44651,183.497956,264.724854,5
dense_jepa_flatten,,0,8,160,172.58959199999998,249.123036,172.382812,250.46116999999998,5
slot_delta,64,32,32,80,187.66279600000001,220.398306,187.663572,220.40056599999997,5
slot_delta,64,32,32,160,177.468302,211.590056,177.468552,211.592722,5
slot_delta,64,16,32,80,187.16974399999998,221.781286,187.169876,221.78186399999998,5
slot_delta,64,16,32,160,177.086488,211.90037,177.08652999999998,211.90083799999996,5
slot_delta,64,0,32,80,183.605734,227.254408,186.186412,219.045172,5
slot_delta,64,0,32,160,175.979686,217.99031599999998,179.133136,209.23059800000001,5
slot_delta,32,16,32,80,192.40131200000002,209.99571,192.401918,209.99866400000002,5
slot_delta,32,16,32,160,180.321654,200.05719800000003,180.32189,200.059074,5
slot_delta,32,0,32,80,187.228834,213.55278600000003,190.560946,201.506592,5
slot_delta,32,0,32,160,178.857068,211.607346,182.327276,200.222566,5
slot_delta,16,0,32,80,188.614152,209.98467,192.13725,197.96017,5
slot_delta,16,0,32,160,180.10082,197.767414,183.727314,189.146054,5
slot_delta,64,32,16,80,185.121274,227.870552,185.123342,227.87349,5
slot_delta,64,32,16,160,182.329188,228.94372800000002,182.33028199999998,228.94788,5
slot_delta,64,16,16,80,184.82096,228.533838,184.82110600000001,228.53458799999999,5
slot_delta,64,16,16,160,181.98987,229.95081599999997,181.989944,229.95135199999999,5
slot_delta,64,0,16,80,183.711908,232.77058200000002,185.67431000000002,225.89638,5
slot_delta,64,0,16,160,181.06923799999998,228.35517399999998,184.061014,220.94592400000002,5
slot_delta,32,16,16,80,187.40649200000001,217.495136,187.40704799999997,217.49804600000002,5
slot_delta,32,16,16,160,184.09243,214.71249400000002,184.09230399999998,214.71395199999998,5
slot_delta,32,0,16,80,189.29161,217.096158,191.023236,209.769004,5
slot_delta,32,0,16,160,183.590168,222.08073599999997,186.091894,213.10770200000002,5
slot_delta,16,0,16,80,188.77429,214.24665199999998,191.62164,210.582312,5
slot_delta,16,0,16,160,188.636492,199.40302200000002,190.49686400000002,195.256668,5
slot_delta,64,32,8,80,186.672668,247.51234,186.672662,247.515584,5
slot_delta,64,32,8,160,178.12849,246.32568,178.12990399999998,246.32816200000002,5
slot_delta,64,16,8,80,187.411684,246.74143800000002,187.411774,246.741892,5
slot_delta,64,16,8,160,177.49097999999998,246.933468,177.49127,246.93448200000003,5
slot_delta,64,0,8,80,184.828718,249.51946800000002,186.198088,244.275994,5
slot_delta,64,0,8,160,179.47973199999998,239.930862,181.052104,239.9056,5
slot_delta,32,16,8,80,196.65682999999999,246.945122,196.65734600000002,246.94723599999998,5
slot_delta,32,16,8,160,185.527402,231.037754,185.528156,231.03975999999997,5
slot_delta,32,0,8,80,192.72833,245.450236,197.18641,242.77805600000002,5
slot_delta,32,0,8,160,182.396716,232.95957400000003,187.26481199999998,230.62862,5
slot_delta,16,0,8,80,184.115772,242.50767000000002,186.577122,237.95713999999998,5
slot_delta,16,0,8,160,182.90052599999999,224.516484,187.881824,219.19754400000002,5
