mode,n_targets,n_distractors,J,hidden_mse_hungarian_mean,n_seeds
copy,8,10,20,110.312346,5
copy,8,10,40,112.421996,5
copy,8,10,80,107.329458,5
copy,8,5,20,110.3047,5
copy,8,5,40,112.42207,5
copy,8,5,80,107.330902,5
copy,5,10,20,120.015156,5
copy,5,10,40,108.06053999999999,5
copy,5,10,80,119.74897200000001,5
copy,5,5,20,120.01093399999999,5
copy,5,5,40,108.061854,5
copy,5,5,80,119.75382400000001,5
copy,3,10,20,129.968602,5
copy,3,10,40,141.40432600000003,5
copy,3,10,80,129.056324,5
copy,3,5,20,129.954612,5
copy,3,5,40,141.409124,5
copy,3,5,80,129.055854,5
dense_jepa,8,10,20,109.684694,5
dense_jepa,8,10,40,110.554698,5
dense_jepa,8,10,80,106.137396,5
dense_jepa,8,5,20,109.78316,5
dense_jepa,8,5,40,111.03182,5
dense_jepa,8,5,80,106.14291,5
dense_jepa,5,10,20,118.72208599999999,5
dense_jepa,5,10,40,105.67169200000001,5
dense_jepa,5,10,80,118.97746400000001,5
dense_jepa,5,5,20,119.25775200000001,5
dense_jepa,5,5,40,106.549452,5
dense_jepa,5,5,80,119.749268,5
dense_jepa,3,10,20,127.06354200000001,5
dense_jepa,3,10,40,140.50038,5
dense_jepa,3,10,80,127.006424,5
dense_jepa,3,5,20,128.115776,5
dense_jepa,3,5,40,140.64599600000003,5
dense_jepa,3,5,80,127.960466,5
slot_dense_update,8,10,20,105.198228,5
slot_dense_update,8,10,40,104.47210199999999,5
slot_dense_update,8,10,80,105.27563,5
slot_dense_update,8,5,20,106.661628,5
slot_dense_update,8,5,40,104.554098,5
slot_dense_update,8,5,80,103.595928,5
slot_dense_update,5,10,20,120.89046,5
slot_dense_update,5,10,40,105.67999999999999,5
slot_dense_update,5,10,80,115.47348200000002,5
slot_dense_update,5,5,20,121.00476800000001,5
slot_dense_update,5,5,40,105.411846,5
slot_dense_update,5,5,80,115.642976,5
slot_dense_update,3,10,20,130.168756,5
slot_dense_update,3,10,40,130.838458,5
slot_dense_update,3,10,80,131.169768,5
slot_dense_update,3,5,20,130.79486400000002,5
slot_dense_update,3,5,40,131.454256,5
slot_dense_update,3,5,80,131.264366,5
slot_delta,8,10,20,104.10513599999999,5
slot_delta,8,10,40,99.41695200000001,5
slot_delta,8,10,80,95.971926,5
slot_delta,8,5,20,103.919776,5
slot_delta,8,5,40,98.91413800000001,5
slot_delta,8,5,80,93.906118,5
slot_delta,5,10,20,108.682488,5
slot_delta,5,10,40,100.066616,5
slot_delta,5,10,80,111.04005,5
slot_delta,5,5,20,110.478638,5
slot_delta,5,5,40,101.320656,5
slot_delta,5,5,80,113.51964000000001,5
slot_delta,3,10,20,128.66823,5
slot_delta,3,10,40,133.24608600000002,5
slot_delta,3,10,80,126.126738,5
slot_delta,3,5,20,126.135772,5
slot_delta,3,5,40,131.42979,5
slot_delta,3,5,80,125.25174999999999,5
